time,value
2023-02-14 01:33:09,13123
2023-02-14 01:38:09,13123
2023-02-14 02:49:36,13123
2023-02-14 03:21:53,13123
2023-02-14 03:40:12,13123
2023-02-14 04:22:36,13123
2023-02-14 04:42:41,13124
2023-02-14 05:17:21,13124
2023-02-14 05:37:23,13124
2023-02-14 06:23:31,13124
2023-02-14 06:42:47,13124
2023-02-14 07:17:03,13124
2023-02-14 07:37:19,13124
2023-02-14 08:24:04,13124
2023-02-14 08:42:35,13124
2023-02-14 09:18:55,13124
2023-02-14 09:38:27,13124
2023-02-14 10:20:17,13124
2023-02-14 10:40:38,13124
2023-02-14 11:15:25,13124
2023-02-14 11:37:38,13124
2023-02-14 12:37:44,13124
2023-02-14 13:27:50,13124
2023-02-14 13:42:35,13124
2023-02-14 14:17:23,13124
2023-02-14 14:38:27,13124
2023-02-14 15:19:07,13124
2023-02-14 15:40:00,13125
2023-02-14 16:26:00,13125
2023-02-14 16:48:48,13125
2023-02-14 17:17:03,13125
2023-02-14 17:37:38,13125
2023-02-14 18:22:51,13125
2023-02-14 18:41:49,13125
2023-02-14 19:14:31,13128
2023-02-14 19:37:04,13128
2023-02-14 20:19:02,13128
2023-02-14 20:38:16,13128
2023-02-14 21:16:20,13128
2023-02-14 21:37:31,13129
2023-02-14 22:17:34,13129
2023-02-14 22:38:00,13131
2023-02-14 23:18:13,13131
2023-02-14 23:37:52,13133
2023-02-15 01:38:04,13134
2023-02-15 02:50:17,13134
2023-02-15 03:22:50,13134
2023-02-15 03:40:29,13134
2023-02-15 04:22:54,13134
2023-02-15 04:41:28,13134
2023-02-15 05:17:07,13135
2023-02-15 05:37:41,13135
2023-02-15 06:23:28,13135
2023-02-15 06:41:36,13135
2023-02-15 07:16:24,13138
2023-02-15 07:37:37,13138
2023-02-15 08:23:46,13137
2023-02-15 08:42:25,13137
2023-02-15 09:18:23,13137
2023-02-15 09:38:21,13137
2023-02-15 10:19:49,13149
2023-02-15 10:40:09,13149
2023-02-15 11:15:22,13149
2023-02-15 11:37:36,13149
2023-02-15 12:35:59,13148
2023-02-15 13:27:05,13148
2023-02-15 13:41:22,13148
2023-02-15 14:17:05,13149
2023-02-15 22:39:05,13159
2023-02-15 23:18:24,13159
2023-02-15 23:37:33,13159
2023-02-16 01:37:37,13159
2023-02-16 02:48:34,13158
2023-02-16 03:21:17,13158
2023-02-16 03:39:46,13158
2023-02-16 04:22:14,13158
2023-02-16 04:41:56,13158
2023-02-16 05:16:59,13158
2023-02-16 05:37:11,13158
2023-02-16 06:22:59,13158
2023-02-16 06:42:25,13158
2023-02-16 07:16:19,13158
2023-02-16 07:37:10,13158
2023-02-16 08:23:25,13158
2023-02-16 08:42:10,13158
2023-02-16 09:18:25,13158
2023-02-16 09:38:00,13158
2023-02-16 10:19:25,13158
2023-02-16 10:40:18,13158
2023-02-16 11:15:12,13158
2023-02-16 11:37:26,13158
2023-02-16 12:35:11,13158
2023-02-16 13:31:23,13159
2023-02-16 14:16:43,13161
2023-02-16 14:38:07,13161
