time,value
2023-02-25 00:16:10,1901
2023-02-25 01:36:10,1948
2023-02-25 02:49:24,1963
2023-02-25 03:21:39,1963
2023-02-25 03:39:38,1963
2023-02-25 04:21:53,1963
2023-02-25 04:41:59,1963
2023-02-25 05:16:21,1963
2023-02-25 05:37:24,1964
2023-02-25 06:21:44,1968
2023-02-25 06:41:23,1968
2023-02-25 07:15:40,1968
2023-02-25 07:37:13,1977
2023-02-25 08:21:29,1978
2023-02-25 08:40:33,1978
2023-02-25 09:16:47,1978
2023-02-25 09:37:39,1978
2023-02-25 10:17:57,1978
2023-02-25 10:38:13,1974
2023-02-25 11:14:21,1996
2023-02-25 11:37:01,2006
2023-02-25 12:32:05,2014
2023-02-25 13:21:13,2055
2023-02-25 13:37:19,2055
2023-02-25 14:14:59,2055
2023-02-25 14:37:20,2057
2023-02-25 15:16:52,2061
2023-02-25 15:37:13,2061
2023-02-25 16:22:55,2061
2023-02-25 16:44:20,2061
2023-02-25 17:15:22,2061
2023-02-25 17:37:15,2061
2023-02-25 18:21:21,2061
2023-02-25 18:40:43,2061
2023-02-25 19:13:56,2069
2023-02-25 19:37:15,2089
2023-02-25 20:18:32,2093
2023-02-25 20:37:45,2098
2023-02-25 21:15:00,2098
2023-02-25 21:37:31,2099
2023-02-25 22:16:39,2108
2023-02-25 22:37:51,2124
2023-02-26 01:44:04,2130
2023-02-26 03:29:55,2132
2023-02-26 03:45:31,2132
2023-02-26 04:21:35,2135
2023-02-26 04:41:49,2135
2023-02-26 05:16:31,2135
2023-02-26 05:37:16,2135
2023-02-26 06:22:09,2135
2023-02-26 06:41:39,2135
2023-02-26 07:16:02,2135
2023-02-26 07:37:00,2135
2023-02-26 08:21:56,2137
2023-02-26 09:37:46,2190
2023-02-26 10:18:15,2213
2023-02-26 10:38:50,2213
2023-02-26 11:14:29,2213
2023-02-26 11:37:11,2214
2023-02-26 12:33:35,2217
2023-02-26 13:22:43,2254
2023-02-26 13:37:51,2282
2023-02-26 14:15:38,2295
2023-02-26 14:37:18,2295
2023-02-26 15:17:13,2300
2023-02-26 15:37:36,2302
2023-02-26 16:23:07,2303
2023-02-26 16:44:54,2303
2023-02-26 17:15:24,2303
2023-02-26 17:37:10,2303
2023-02-26 18:21:12,2318
2023-02-26 18:40:13,2318
2023-02-26 19:13:47,2325
2023-02-26 19:36:59,2325
2023-02-26 20:18:10,2327
2023-02-26 20:37:35,2335
2023-02-26 21:14:48,2335
2023-02-26 21:37:18,2335
2023-02-26 22:16:25,2336
2023-02-26 22:37:44,2335
2023-02-26 23:37:43,2333
2023-02-27 01:37:29,2359
2023-02-27 02:51:00,2359
2023-02-27 03:23:00,2359
2023-02-27 03:41:02,2353
2023-02-27 04:22:51,2360
2023-02-27 04:42:36,2360
2023-02-27 05:17:28,2360
2023-02-27 05:37:26,2360
2023-02-27 06:24:11,2360
2023-02-27 06:43:18,2361
