time,value
2023-12-19 11:22:52,1069
2023-12-19 11:37:30,1105
2023-12-19 12:30:40,1218
2023-12-19 13:19:10,1230
2023-12-19 13:37:11,1226
2023-12-19 14:13:51,1201
2023-12-19 14:36:59,975
2023-12-19 14:48:24,1046
2023-12-19 15:16:29,979
2023-12-19 15:37:22,1069
2023-12-19 16:18:46,1208
2023-12-19 16:37:10,1207
2023-12-19 17:11:52,1276
2023-12-19 17:37:19,1318
2023-12-19 18:16:34,1427
2023-12-19 18:37:00,1419
2023-12-19 19:10:58,1184
2023-12-19 19:37:03,1295
2023-12-19 20:14:03,1334
2023-12-19 20:37:09,1344
2023-12-19 21:11:57,1355
2023-12-19 21:37:08,1416
2023-12-19 22:12:55,1444
2023-12-19 22:37:12,1518
2023-12-19 23:13:00,1596
2023-12-19 23:37:11,1544
2023-12-20 00:59:04,1671
2023-12-20 01:38:40,1512
2023-12-20 02:14:07,1568
2023-12-20 02:37:08,1560
2023-12-20 03:13:47,1497
2023-12-20 03:37:31,1521
2023-12-20 04:16:32,1618
2023-12-20 04:37:10,1620
2023-12-20 05:12:22,1645
2023-12-20 05:37:05,1688
2023-12-20 06:17:13,1724
2023-12-20 06:37:06,1725
2023-12-20 07:11:56,1828
2023-12-20 07:37:00,1915
2023-12-20 08:16:22,1890
2023-12-20 08:37:25,1624
2023-12-20 09:12:57,1681
2023-12-20 09:37:00,1726
2023-12-20 10:14:02,1767
2023-12-20 10:37:06,1697
2023-12-20 11:11:32,1675
2023-12-20 11:36:53,1643
2023-12-20 12:25:12,1487
2023-12-20 12:43:34,1458
2023-12-20 13:15:03,1491
2023-12-20 13:37:11,1480
2023-12-20 14:12:31,1462
2023-12-20 14:37:03,1406
2023-12-20 15:13:37,1365
2023-12-20 15:37:13,1438
2023-12-20 16:19:41,1525
2023-12-20 16:40:41,1587
2023-12-20 17:12:33,1529
2023-12-20 17:37:03,1469
2023-12-20 18:20:07,1351
2023-12-20 18:37:44,1362
2023-12-20 19:11:18,1334
2023-12-20 19:36:59,1409
2023-12-20 20:17:12,1302
2023-12-20 20:37:25,1297
2023-12-20 21:13:07,1243
2023-12-20 21:37:13,1331
2023-12-20 22:14:51,1321
2023-12-20 22:37:21,1290
2023-12-20 23:16:40,1250
2023-12-20 23:37:15,1371
2023-12-21 01:10:42,1320
2023-12-21 02:08:42,1217
2023-12-21 02:40:35,1252
2023-12-21 03:16:42,1216
2023-12-21 03:37:14,1289
2023-12-21 04:19:21,1244
2023-12-21 04:38:32,1229
2023-12-21 05:15:20,1247
2023-12-21 05:37:05,1109
2023-12-21 06:21:01,803
2023-12-21 06:38:26,824
2023-12-21 07:14:56,618
